fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230903 161534	-0.144226544024274	6751	7	5	1	5	54565000	207
20230903 161610	-0.999790987220459	4042	268	20	1	5	66878000	208
20230903 161642	-0.999795248685534	5619	731	18	1	5	57183000	209
20230903 161708	-0.925982948233089	6966	3482	20	1	5	58037000	210
20230903 161722	0.099666123391251	7996	13	20	1	5	0	211
20230903 161746	-0.23479656714674	6991	3477	20	1	5	58037000	212
20230903 161808	-0.120355166555703	4	1	6	1	5	73451000	213
20230903 161830	-0.446116785856527	2965	314	6	1	5	71064000	214
20230903 161855	-0.922232306298701	7228	1302	8	1	5	54096000	215
20230903 161933	-0.523050537718498	6949	196	20	1	5	53494000	216
20230903 161956	-0.742348133020503	3596	483	6	1	5	66878000	217
20230903 162011	-0.0814458531742406	4649	3	3	1	5	57330000	218
20230903 162036	-0.134000347598136	2322	272	7	1	5	73017000	219
20230903 162109	-0.534740326884654	4416	725	20	1	5	67480000	220
20230903 162135	-0.130115816484164	5817	2352	20	1	5	55251000	221
20230903 162150	-0.446311802277856	4837	419	3	1	5	57134000	222
20230903 162229	-0.178716281167882	2842	261	20	1	5	72842000	223
20230903 162320	-0.661393396405382	154	73	20	1	5	41727000	224
20230903 162346	-0.667137224651233	1324	211	7	1	5	75236000	225
20230903 162418	-0.469192667484776	1730	862	12	1	5	63231000	226
20230903 162457	-0.898863839107399	1305	514	16	1	5	72436000	227
20230903 162529	-0.541157344268496	2622	1304	16	1	5	65261000	228
20230903 162555	-0.6048170080886	1235	274	7	1	5	75558000	229
20230903 162635	-0.785729741539764	928	338	20	1	5	67795000	230
20230903 162719	-0.157499114335865	4140	25	20	1	5	63042000	231
20230903 162735	-0.432114191331748	2830	1415	3	1	5	58555000	232
20230903 162804	-0.898443433854817	4428	2214	14	1	5	63056000	233
20230903 162829	-0.888890534698251	1211	263	7	1	5	75859000	234
20230903 162853	-0.812998633557784	377	134	7	1	5	70812000	235
20230903 162920	-0.465100177317142	4354	2172	20	1	5	63728000	236
20230903 162943	-0.794664239284463	1260	282	7	1	5	75516000	237
20230903 163014	-0.437698430269281	3855	12	13	1	5	63280000	238
20230903 163051	-0.199444406478264	1730	862	20	1	5	63231000	239
20230903 163119	-0.913636351700793	1090	495	7	1	5	74459000	240
20230903 163149	-0.246902943300781	4297	2145	13	1	5	63728000	241
20230903 163204	0.0976264959312719	3798	1899	16	1	5	0	242
20230903 163220	-0.238478045953193	4991	2492	3	1	5	57960000	243
20230903 163249	-0.268776761361782	7978	1265	17	1	5	54096000	244
20230903 163315	-0.586537615314973	6574	3275	20	1	5	56588000	245
20230903 163330	-0.520342975566286	7997	1303	3	1	5	54096000	246
