Feature	Gain	Cover	Frequency
mcomisiones_otras_lag_2	0.00241019500980281	0.00181153528476981	0.00377399833634219
chomebanking_transacciones_lag_2	0.00236327978802889	0.00133647644462459	0.00347379666549305
Visa_msaldototal_rank	0.00235924927596439	0.00143448814473911	0.00185936806583008
internet	0.00233861610615741	0.00120345764721923	0.000713582267444456
mcaja_ahorro_dolares_lag_2	0.00233769543009575	0.00294070717795409	0.00310868000311785
Visa_msaldopesos	0.00232962121466178	0.00318928074192672	0.00248293809595401
Master_madelantopesos_rank	0.0023263310201238	0.000885014436715444	0.00405272255646337
Master_fultimo_cierre	0.00232254055660939	0.00174020068249815	0.00420137547386134
Visa_fultimo_cierre	0.00230065706045985	0.00326250947175354	0.00465602173421486
mcomisiones_otras_rank	0.00229264548893003	0.00169121036618062	0.00407275208916472
Visa_mconsumospesos_lag_2	0.00229042448580995	0.00179974150024098	0.0034139493870601
Master_mfinanciacion_limite_lag_2	0.0022777112010607	0.00148551053432527	0.00368302082033726
Visa_mpagominimo_lag_2	0.00226895174889396	0.00111600137208184	0.00274211542271605
mttarjeta_visa_debitos_automaticos_lag_2	0.00224950873996676	0.0018866379038322	0.00197134039322075
mcomisiones_otras_lag_1	0.00224698366985742	0.00207530851021604	0.00376796534456467
cpayroll_trx_rank	0.00222615917361484	0.00263134732341527	0.000926184897684079
Master_mlimitecompra_rank	0.00220334282546593	0.00175159571904686	0.0039834638108575
mcaja_ahorro_dolares	0.00220328042050997	0.00360496735948461	0.00325829819920022
mcaja_ahorro_dolares_lag_1	0.00218603975828076	0.00288795992615523	0.00282850786497006
ctransferencias_recibidas_rank	0.00218561642444119	0.00139840523146274	0.00374745317252112
tcallcenter_rank	0.00216507275903634	0.00680473835899937	0.00193176396716025
Visa_cconsumos_lag_2	0.00210052373878933	0.00154218804788287	0.00254616384978237
Visa_mconsumospesos	0.0020824876352252	0.00216699464059732	0.00302711395428585
Master_mconsumosdolares_rank	0.00207303696071013	0.0012333106350701	0.00392385785209566
Visa_mconsumospesos_lag_1	0.0020358481500349	0.00155996589211394	0.00305052196238261
active_quarter_rank	0.00203293554306705	0.00637176710837668	0.00602599350705293
Master_mfinanciacion_limite_lag_1	0.00203084258449615	0.00192744367781779	0.00314125815871643
Visa_mlimitecompra	0.00201975989657255	0.00235297207739082	0.00332852222349049
Master_status	0.00201589548847464	0.011154796773055	0.000546106415700644
