fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230920 012018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1953	TRUE	540187	0.0525127284229131	0.67277483682511	232	351	14999	613795000	93
20230920 012531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	540187	0.221421773560105	0.90991417497282	5300	1023	15000	504840000	94
20230920 013128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	529	TRUE	540187	0.0658796869459156	0.996804752542058	3	353	13669	480865000	95
20230920 021909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5434	TRUE	540187	0.0187239718127504	0.602583719889657	7318	963	14998	494235000	96
20230920 025037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2430	TRUE	540187	0.0595363944100422	0.584292231141089	860	410	14998	626675000	97
20230920 025950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	580	TRUE	540187	0.169330777067273	0.422735479952362	395	1022	14991	593950000	98
20230920 031022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	855	TRUE	540187	0.182855126215731	0.45064080473925	2081	722	14044	551880000	99
20230920 035542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3084	TRUE	540187	0.0299467563439513	0.552131744571558	512	593	15000	623840000	100
20230920 041213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1361	TRUE	540187	0.0815876683766895	0.351102247459432	165	496	15000	614320000	101
20230920 042418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	954	TRUE	540187	0.161139819287001	0.860777160050948	843	1023	11324	528920000	102
20230920 063238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9981	TRUE	540187	0.0108860233312381	0.608244614034332	948	750	14999	594755000	103
